date,hour,pickup_community_area,day_of_week,demand,temperature,zone_name,is_holiday,n_crashes,congestion_speed
2023-02-17,3,65,6,0,-3.1999999999999997,WEST LAWN,0,0,13.80379310344828
2023-02-17,3,71,6,0,-3.1999999999999997,AUBURN GRESHAM,0,0,13.80379310344828
2023-02-17,3,44,6,0,-3.1999999999999997,CHATHAM,0,0,13.80379310344828
2023-02-17,3,68,6,0,-3.1999999999999997,ENGLEWOOD,0,0,13.80379310344828
2023-02-17,3,2,6,3,-3.1999999999999997,WEST RIDGE,0,0,13.80379310344828
2023-02-17,3,59,6,0,-3.1999999999999997,MCKINLEY PARK,0,0,13.80379310344828
2023-02-17,3,75,6,0,-3.1999999999999997,MORGAN PARK,0,0,13.80379310344828
2023-02-17,3,17,6,0,-3.1999999999999997,DUNNING,0,0,13.80379310344828
2023-02-17,3,76,6,31,-3.1999999999999997,OHARE,0,0,13.80379310344828
2023-02-17,3,41,6,0,-3.1999999999999997,HYDE PARK,0,0,13.80379310344828
2023-02-17,3,47,6,0,-3.1999999999999997,BURNSIDE,0,0,13.80379310344828
2023-02-17,3,25,6,0,-3.1999999999999997,AUSTIN,0,0,13.80379310344828
2023-02-17,3,15,6,0,-3.1999999999999997,PORTAGE PARK,0,0,13.80379310344828
2023-02-17,3,19,6,0,-3.1999999999999997,BELMONT CRAGIN,0,0,13.80379310344828
2023-02-17,3,40,6,0,-3.1999999999999997,WASHINGTON PARK,0,0,13.80379310344828
2023-02-17,3,12,6,1,-3.1999999999999997,FOREST GLEN,0,0,13.80379310344828
2023-02-17,3,70,6,0,-3.1999999999999997,ASHBURN,0,0,13.80379310344828
2023-02-17,3,18,6,0,-3.1999999999999997,MONTCLARE,0,0,13.80379310344828
2023-02-17,3,10,6,2,-3.1999999999999997,NORWOOD PARK,0,0,13.80379310344828
2023-02-17,3,3,6,0,-3.1999999999999997,UPTOWN,0,0,13.80379310344828
2023-02-17,3,1,6,2,-3.1999999999999997,ROGERS PARK,0,0,13.80379310344828
2023-02-17,3,34,6,1,-3.1999999999999997,ARMOUR SQUARE,0,0,13.80379310344828
2023-02-17,3,27,6,0,-3.1999999999999997,EAST GARFIELD PARK,0,0,13.80379310344828
2023-02-17,3,56,6,2,-3.1999999999999997,GARFIELD RIDGE,0,0,13.80379310344828
2023-02-17,3,50,6,0,-3.1999999999999997,PULLMAN,0,0,13.80379310344828
2023-02-17,3,20,6,0,-3.1999999999999997,HERMOSA,0,0,13.80379310344828
2023-02-17,3,53,6,0,-3.1999999999999997,WEST PULLMAN,0,0,13.80379310344828
2023-02-17,3,61,6,0,-3.1999999999999997,NEW CITY,0,0,13.80379310344828
2023-02-17,3,6,6,2,-3.1999999999999997,LAKE VIEW,0,0,13.80379310344828
2023-02-17,3,23,6,0,-3.1999999999999997,HUMBOLDT PARK,0,0,13.80379310344828
2023-02-17,3,9,6,0,-3.1999999999999997,EDISON PARK,0,0,13.80379310344828
2023-02-17,3,48,6,0,-3.1999999999999997,CALUMET HEIGHTS,0,0,13.80379310344828
2023-02-17,3,73,6,1,-3.1999999999999997,WASHINGTON HEIGHTS,0,0,13.80379310344828
2023-02-17,3,30,6,0,-3.1999999999999997,SOUTH LAWNDALE,0,0,13.80379310344828
2023-02-17,3,42,6,0,-3.1999999999999997,WOODLAWN,0,0,13.80379310344828
2023-02-17,3,36,6,0,-3.1999999999999997,OAKLAND,0,0,13.80379310344828
2023-02-17,3,55,6,0,-3.1999999999999997,HEGEWISCH,0,0,13.80379310344828
2023-02-17,3,24,6,0,-3.1999999999999997,WEST TOWN,0,0,13.80379310344828
2023-02-17,3,63,6,0,-3.1999999999999997,GAGE PARK,0,0,13.80379310344828
2023-02-17,3,16,6,1,-3.1999999999999997,IRVING PARK,0,0,13.80379310344828
2023-02-17,3,69,6,1,-3.1999999999999997,GREATER GRAND CROSSING,0,0,13.80379310344828
2023-02-17,3,72,6,0,-3.1999999999999997,BEVERLY,0,0,13.80379310344828
2023-02-17,3,54,6,0,-3.1999999999999997,RIVERDALE,0,0,13.80379310344828
